City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,whitehorse,60.7161,-135.0538,-11.57,84,100,8.23,CA,1702264861
298,banda aceh,5.5577,95.3222,28.11,75,48,0.22,ID,1702264861
299,at taj,24.2049,23.2857,10.72,59,0,4.0,LY,1702264861
300,touros,-5.1989,-35.4608,26.19,71,50,3.49,BR,1702264861
301,kasongo-lunda,-6.4667,16.8167,20.87,99,100,0.65,CD,1702264861
302,ati,13.2154,18.3353,18.5,27,27,4.4,TD,1702264861
303,cefalu,38.0386,14.0229,15.42,74,18,1.79,IT,1702264862
304,merritt,50.1123,-120.7942,1.85,89,100,0.89,CA,1702264862
305,san julian,21.0167,-102.1667,15.32,56,100,3.02,MX,1702264862
306,suluru,13.7,80.0167,25.52,76,75,2.44,IN,1702264862
307,kapa'a,22.0752,-159.319,25.61,82,75,4.12,US,1702264862
308,karatau,43.1667,70.4667,-4.9,87,100,0.95,KZ,1702264863
309,fort mcmurray,56.7268,-111.381,-3.23,63,0,10.8,CA,1702264863
310,poronaysk,49.2167,143.1167,-13.6,60,27,5.91,RU,1702264863
311,kenai,60.5544,-151.2583,-4.36,91,100,6.17,US,1702264863
312,cadale,2.7603,46.3222,26.75,80,35,5.46,SO,1702264863
313,salta,-24.7859,-65.4117,16.33,90,75,0.0,AR,1702264850
314,madang,-5.2246,145.7966,32.76,57,82,2.93,PG,1702264864
315,san rafael,-34.6177,-68.3301,27.31,27,23,11.38,AR,1702264737
316,bayan,46.0833,127.4,-20.67,81,42,1.38,CN,1702264864
317,ranau,5.9538,116.6641,27.94,67,100,1.22,MY,1702264864
318,oxkutzkab,20.3,-89.4167,20.69,97,100,1.83,MX,1702264858
319,flying fish cove,-10.4217,105.6791,27.82,74,75,4.63,CX,1702264864
320,la ronge,55.1001,-105.2842,-4.86,80,100,3.6,CA,1702264864
321,mumford,5.2618,-0.759,26.38,81,4,1.22,GH,1702264865
322,rockland,41.1668,-74.0496,15.35,93,100,0.45,US,1702264865
